"id","job_number","status","job_status","account","reg","state","match_mode","invoice_done","completion_date"
"d7c92c87-6f80-4b7d-85a8-02caf517a219","SOL-432046","completed","Invoiced","HITA-0001","","missing","no-reg","true","2026-05-08T13:14:48.441+00:00"
"4fbe8a6a-9ce4-4a8c-a98f-26ad3af07ce7","SOL-447800","completed","Invoiced","MACS-0023","VLK687GP","missing","no-vehicle-match","true","2026-05-11T07:10:53.569507+00:00"
"e2c388cf-72ef-469a-a61d-6225e90d00cf","SOL-294370","completed","Invoiced","ALST-0001","","missing","no-reg","true","2026-05-07T10:19:03.110127+00:00"
"598ab30c-1a31-414b-b5fc-9dc1b11c3312","SOL-325091","completed","Invoiced","MACS-0037","CY433480","missing","no-vehicle-match","true","2026-05-08T10:02:38.770363+00:00"
"a75081c0-2ab7-41e7-8701-ab270616dac4","SOL-163703","completed","Invoiced","MACS-0025","BG90DHZN","missing","no-vehicle-match","true","2026-05-08T11:17:11.194+00:00"
"420e4208-f0b6-42bf-9daa-95700f70026d","SOL-192903","completed","Invoiced","MACS-0025","BG90DHZN","missing","no-vehicle-match","true","2026-05-08T11:16:33.645216+00:00"
"d8373104-14cf-4437-b839-41d6e87cf111","SOL-617357","completed","Invoiced","WACA-0001","KC31RGGP - CAN AND BUZZER INSTALL","missing","no-vehicle-match","true","2026-05-08T09:22:41.972801+00:00"
"bec6bd2d-a509-4037-ba84-351431aa4412","SOL-281508","completed","Invoiced","TTEX-0001","","missing","no-reg","true","2026-05-04T11:09:22.263+00:00"
"0dd10bc8-89b4-4c94-b4c5-26a84964d860","SOL-716441","completed","Invoiced","TTFM-0001","","missing","no-reg","true","2026-05-04T11:04:53.033+00:00"
"a01a56b9-7f00-4c19-9eff-4d7656e7dd1c","SOL-979367","completed","Invoiced","TTLI-0001","","missing","no-reg","true","2026-05-04T10:57:59.675+00:00"
"81a1c8a5-59ba-4013-964c-b8a638469ca1","SOL-881439","completed","Invoiced","TLOG-0001","","missing","no-reg","true","2026-05-04T10:46:26.163+00:00"
"9cb1b2a8-be44-4afa-8b5f-402dab58cbf2","SOL-689737","completed","Invoiced","HITA-0001","","missing","no-reg","true","2026-04-30T13:42:10.835+00:00"
"a190a93a-f95a-4738-b8d0-a6a343e8f4bd","SOL-417776","completed","Invoiced","TTEX-0001","","missing","no-reg","true","2026-04-30T13:36:56.204+00:00"
"35769aff-b0c1-4de1-8cb3-b3be07111763","SOL-960887","completed","Invoiced","TTFM-0001","","missing","no-reg","true","2026-04-30T13:35:06.876+00:00"
"39a0f693-47ef-4400-b687-25afd9fd97be","SOL-663404","completed","Invoiced","TTLI-0001","","missing","no-reg","true","2026-04-30T13:33:37.508+00:00"
"ca556f63-ba37-4cc1-977b-876b1fd9ffb2","SOL-788317","completed","Invoiced","TLOG-0001","","missing","no-reg","true","2026-04-30T13:31:36.753+00:00"
"f0ccbb84-c32d-4547-adfe-7f4d5b30a530","SOL-559683","completed","Invoiced","LECO-0001","","missing","no-reg","true","2026-04-30T13:26:27.483+00:00"
"d6e65540-40b8-48ba-b3a4-d594dbcb71ac","SOL-931061","completed","Invoiced","ENER-0001","","missing","no-reg","true","2026-04-30T12:24:17.80985+00:00"
"77333b73-5e6f-4751-898b-0f17175dbefc","SOL-827447","completed","Invoiced","AVIS-0001","KZ35BJGP","missing","no-vehicle-match","true","2026-05-06T06:38:56.319288+00:00"
"d4597479-9394-429f-90c4-4b2c8fe4f2f5","SOL-655602","completed","Invoiced","MAYS-0001","data upload - MAY003","missing","no-vehicle-match","true","2026-04-29T10:00:52.949+00:00"
"2eb6ab1f-0a69-404a-aaff-b2f115f38d91","SOL-776721","completed","Invoiced","TTLI-0001","PANIC INSTALLS","missing","no-vehicle-match","true","2026-05-06T09:19:57.239457+00:00"
"873afa63-f6fc-424f-b6a5-a89c546441de","SOL-489882","completed","Invoiced","TTLI-0001","PANIC INSTALLS","missing","no-vehicle-match","true","2026-05-06T09:20:14.731942+00:00"
"00e210f3-be13-449f-9ccc-c43150b6329d","SOL-797876","completed","Invoiced","TTLI-0001","LDG422MP - LH33","missing","no-vehicle-match","true","2026-05-06T09:20:42.384546+00:00"
"71bc8f28-d485-4411-a16b-845eb41d65a7","SOL-300309","completed","Invoiced","TTLI-0001","JJT993FS - PLS241","missing","no-vehicle-match","true","2026-05-06T09:21:00.109477+00:00"
"38e85793-6be4-4028-88cd-7628aac78f79","SOL-527893","completed","Invoiced","TTLI-0001","JGK731FS - LH41","missing","no-vehicle-match","true","2026-05-06T09:21:19.081258+00:00"
"1c4fc55e-78f5-4d2b-8d65-d5fa82b089c2","SOL-512085","completed","Invoiced","MAYS-0001","MAY007","missing","no-vehicle-match","true","2026-03-31T23:59:59+00:00"
"68b564ff-d560-490f-973c-68b9685de7b4","SOL-995120","completed","Invoiced","MAYS-0001","DATA UPLOAD - MAY002","missing","no-vehicle-match","true","2026-03-31T23:59:59+00:00"
"ba8eb4b7-b8e2-47a2-8eb7-802ea98eb701","SOL-244000","completed","Invoiced","MAYS-0001","DATA UPLOAD - MAY509","missing","no-vehicle-match","true","2026-03-31T23:59:59+00:00"
"02051643-d592-49a9-b339-8076e3a7056e","SOL-156583","completed","Invoiced","MAYS-0001","MAY009","missing","no-vehicle-match","true","2026-03-31T23:59:59+00:00"
"7a3245d8-7da2-4ae3-9e1b-703c4b04bc9c","SOL-212942","completed","Invoiced","MACS-0003","BT68VJGP","missing","no-vehicle-match","true","2026-03-14T23:59:59+00:00"
"62037c40-aab7-4e20-b763-6bdaefc744a9","SOL-930914","completed","Invoiced","ENER-0001","","missing","no-reg","true","2026-03-20T23:59:59+00:00"
"7ca99c93-87fd-43bf-8f3b-b33ee6299c3e","SOL-373947","completed","Invoiced","ANGE-0001","FN85FKGP","missing","no-vehicle-match","true","2026-03-15T23:59:59+00:00"
"76a54f63-7f98-40de-88bf-208c1fe02002","SOL-709720","completed","Invoiced","ANGE-0001","FN85FKGP","missing","no-vehicle-match","true","2026-03-15T23:59:59+00:00"
"117df8f7-5937-409b-9551-db47f3e0d24d","SOL-989640","completed","Invoiced","ANGE-0001","YMM294GP","missing","no-vehicle-match","true","2026-04-21T09:51:56.28389+00:00"
"cad2ee4a-f75c-4c94-8c13-bf86de603c47","SOL-489044","completed","Invoiced","ANGE-0001","YMM294GP","missing","no-vehicle-match","true","2026-04-21T09:52:27.644417+00:00"
"98fb2b6a-7616-4503-86a6-b5ba1434ef2f","SOL-440825","completed","Invoiced","ANGE-0001","LT00JNGP","missing","no-vehicle-match","true","2026-03-15T23:59:59+00:00"
"b6992e4e-a1e7-47be-9e90-b6788006f940","SOL-960994","completed","Invoiced","AVIS-0001","LJ75LRGP","missing","no-vehicle-match","true","2026-04-15T05:51:21.95+00:00"
"8d041ca6-cbf3-42c4-baa0-b67d4abe5de4","SOL-536213","completed","Completed","HITA-0001","","missing","no-reg","true","2026-04-30T10:00:00+00:00"
"830e819b-28c4-426d-abe1-fef25c5b2602","SOL-834611","completed","Completed","MACS-0003","BT68VJGP","missing","no-vehicle-match","true","2026-03-14T23:59:59+00:00"
"719e0a53-1e14-4cc8-8c79-275f59981f32","SOL-424827","completed","Completed","ANGE-0001","LK19JHGP","missing","no-vehicle-match","true","2026-03-15T23:59:59+00:00"
"6fff3162-b12f-4659-b158-7c000a424a00","SOL-457225","completed","Completed","EDGE-0001","","missing","no-reg","true","2026-03-15T23:59:59+00:00"
