"id","job_number","account","reg","status","job_status","completion_date","created_at","match_mode"
"dd0d4943-3810-46b8-8993-4b1435ba4a26","SOL-530578","EPSC-0002","DATA UPLOAD - JF74YXGP","completed","Invoiced","2026-04-22T10:07:36.770857+00:00","2026-04-22T10:06:42.081498+00:00","no-vehicle-match"
"b218f3cf-38c3-4aa2-a11c-9ba7b7d998ec","SOL-575752","EPSC-0002","data upload - JF74YXGP","completed","Invoiced","2026-04-23T13:24:39.96011+00:00","2026-04-23T13:24:22.209834+00:00","no-vehicle-match"
"9c94ddcd-6015-45e8-af04-0efbec7f565f","SOL-527276","ALST-0001","JY60PZGP","completed","Invoiced","2026-04-20T08:23:49.658124+00:00","2026-04-17T06:54:26.685401+00:00","no-vehicle-match"
"d4597479-9394-429f-90c4-4b2c8fe4f2f5","SOL-655602","MAYS-0001","data upload - MAY003","completed","Invoiced","2026-04-29T10:00:52.949+00:00","2026-04-23T13:35:01.680062+00:00","no-vehicle-match"
"2a538598-a2fa-4b11-83e5-6d8019ad31ae","SOL-563195","HITA-0001","National Transport Logistics	1000-0302","completed","Invoiced","2026-03-15T23:59:59+00:00","2026-03-24T11:14:28.145088+00:00","no-vehicle-match"
"2c7ae182-3d13-41cc-b891-531a81fc9dfe","SOL-642708","EPSC-0001","DATA UPLOAD - MK88RHGP","completed","Invoiced","2026-03-31T23:59:59+00:00","2026-03-31T10:43:36.8687+00:00","no-vehicle-match"
"6dfc4ca6-6034-46b5-99f7-a710f4a2ff6f","SOL-998233","SEVE-0001","F44 - MX65HCGP","completed","Invoiced","2026-04-17T05:01:47.991892+00:00","2026-04-14T11:21:21.985356+00:00","no-vehicle-match"
"ba4e3c68-6180-41e5-bd60-319f2b0de16d","SOL-891458","EPSC-0001","HW67VCGP DATA UPLOAD","completed","Invoiced","2026-03-31T10:21:52.511001+00:00","2026-03-30T09:12:36.963201+00:00","no-vehicle-match"
"ea3fd3f3-0440-49c8-a505-732b6bbaa5dd","SOL-280898","EPSC-0001","DATA UPLOAD - HW67VCGP","completed","Invoiced","2026-04-14T10:23:15.993674+00:00","2026-04-14T09:55:42.651271+00:00","no-vehicle-match"
"549760c3-77d0-4b06-8888-d93f1f2a5cfc","SOL-202925","ALST-0001","JZ78PGGP","completed","Invoiced","2026-04-20T05:39:33.201937+00:00","2026-04-17T07:25:12.356453+00:00","no-vehicle-match"
"895416e2-ed66-4852-8b29-31a461439935","SOL-781197","EPSC-0001","DATA UPLOAD - KY69YNGP","completed","Invoiced","2026-03-31T23:59:59+00:00","2026-03-31T10:44:11.99873+00:00","no-vehicle-match"
"d7e5d01c-03df-4a33-83c5-84161be6e646","SOL-759415","EPSC-0002","DATA UPLOAD - MK88RHGP","completed","Invoiced","2026-04-20T11:44:34.808407+00:00","2026-04-20T11:43:57.678555+00:00","no-vehicle-match"
"658da23b-f906-4bc1-a3d2-6b92c6159f6f","SOL-559160","HITA-0001","MS80SKGP","completed","Invoiced","2026-03-15T23:59:59+00:00","2026-04-01T10:05:20.58999+00:00","no-vehicle-match"
"068fa517-814a-4a4f-816d-ef2dbaaf821e","SOL-164333","","YMM494GP","completed","Invoiced","2026-03-16T23:59:59+00:00","2026-03-18T07:57:47.671937+00:00","no-vehicle-match"
"02051643-d592-49a9-b339-8076e3a7056e","SOL-156583","MAYS-0001","MAY009","completed","Invoiced","2026-03-31T23:59:59+00:00","2026-03-31T08:23:43.201996+00:00","no-vehicle-match"
"76a54f63-7f98-40de-88bf-208c1fe02002","SOL-709720","ANGE-0001","FN85FKGP","completed","Invoiced","2026-03-15T23:59:59+00:00","2026-03-23T13:49:21.069933+00:00","no-vehicle-match"
"1c4fc55e-78f5-4d2b-8d65-d5fa82b089c2","SOL-512085","MAYS-0001","MAY007","completed","Invoiced","2026-03-31T23:59:59+00:00","2026-03-31T08:24:17.22327+00:00","no-vehicle-match"
"c8e60457-4c6f-4874-940a-6492291873b3","SOL-830555","EPSC-0002","DATA UPLOAD - HY74XFGP","completed","Invoiced","2026-04-20T11:44:16.4+00:00","2026-04-17T10:54:56.906909+00:00","no-vehicle-match"
"98fb2b6a-7616-4503-86a6-b5ba1434ef2f","SOL-440825","ANGE-0001","LT00JNGP","completed","Invoiced","2026-03-15T23:59:59+00:00","2026-03-23T13:35:23.527687+00:00","no-vehicle-match"
"7ca99c93-87fd-43bf-8f3b-b33ee6299c3e","SOL-373947","ANGE-0001","FN85FKGP","completed","Invoiced","2026-03-15T23:59:59+00:00","2026-03-23T13:53:53.79162+00:00","no-vehicle-match"
"e9da6473-93fc-4754-80ee-8a1f8fbf2661","SOL-632738","ALST-0001","JX75VDGP","completed","Invoiced","2026-04-20T10:01:20.851487+00:00","2026-04-17T06:14:32.34002+00:00","no-vehicle-match"
"5cbbcb42-fd56-49e2-b5cf-295742220dc5","SOL-506862","EPSC-0002","DATA UPLOAD  - JF74XHGP","completed","Invoiced","2026-04-20T11:44:24.469373+00:00","2026-04-20T11:43:59.394714+00:00","no-vehicle-match"
"68b564ff-d560-490f-973c-68b9685de7b4","SOL-995120","MAYS-0001","DATA UPLOAD - MAY002","completed","Invoiced","2026-03-31T23:59:59+00:00","2026-03-31T08:24:11.81045+00:00","no-vehicle-match"
"ce4404c7-e286-43a6-80a7-6690739ab05d","JOB-1754928396962-95tzjqikr","","AB56CDGP","completed","Invoiced","2026-03-01T23:59:59+00:00","2025-08-11T16:06:37.923249+00:00","no-vehicle-match"
"8b5001e9-a1c7-4d55-bda5-dc22345161b4","SOL-304758","EPSC-0001","DATA UPLOAD - HW67VCGP","completed","Invoiced","2026-03-31T11:40:07.073842+00:00","2026-03-31T10:43:44.027383+00:00","no-vehicle-match"
"3e89d83f-00b7-4629-87ef-c148491b7c7e","SOL-635581","EPSC-0001","DATA UPLOAD - JF74XHGP","completed","Invoiced","2026-03-31T23:59:59+00:00","2026-03-31T10:44:02.085314+00:00","no-vehicle-match"
"ba8eb4b7-b8e2-47a2-8eb7-802ea98eb701","SOL-244000","MAYS-0001","DATA UPLOAD - MAY509","completed","Invoiced","2026-03-31T23:59:59+00:00","2026-03-31T08:24:06.845795+00:00","no-vehicle-match"
"25e0a4cc-22c0-4eae-8c82-4926db23226e","SOL-257467","HITA-0001","Nelspruit Service	2006-0222","completed","Invoiced","2026-04-20T05:06:12.147842+00:00","2026-04-15T09:50:54.180622+00:00","no-vehicle-match"
"f63af6dd-ac6b-4376-8d6e-9dede2c4c349","SOL-730788","ALST-0001","JP33GVGP","completed","Invoiced","2026-04-20T08:26:28.953405+00:00","2026-04-17T06:31:28.065313+00:00","no-vehicle-match"
"1ddf5436-f332-46a8-9e63-4c9bc42cc8a7","SOL-311550","MACS-0029","DRIVER TAG 7988","completed","Invoiced","2026-03-16T23:59:59+00:00","2026-04-16T10:34:19.975576+00:00","no-vehicle-match"
"d43c463a-23eb-4127-93c7-4831a78631f6","SOL-156772","ALST-0001","KB27GLGP","completed","Invoiced","2026-04-20T09:56:38.407284+00:00","2026-04-17T07:41:27.899124+00:00","no-vehicle-match"
