"job_number","account","reg","line_count","rental_total","subscription_total","recurring_total"
"SOL-998233","SEVE-0001","F44 - MX65HCGP","8","324","629","953"
"SOL-164333","","YMM494GP","1","432","0","432"
"JOB-1754928396962-95tzjqikr","","AB56CDGP","1","132","0","132"
"SOL-506862","EPSC-0002","DATA UPLOAD  - JF74XHGP","1","0","0","0"
"SOL-527276","ALST-0001","JY60PZGP","1","0","0","0"
"SOL-440825","ANGE-0001","LT00JNGP","1","0","0","0"
"SOL-373947","ANGE-0001","FN85FKGP","1","0","0","0"
"SOL-632738","ALST-0001","JX75VDGP","1","0","0","0"
"SOL-995120","MAYS-0001","DATA UPLOAD - MAY002","1","0","0","0"
"SOL-257467","HITA-0001","Nelspruit Service	2006-0222","1","0","0","0"
"SOL-730788","ALST-0001","JP33GVGP","1","0","0","0"
"SOL-311550","MACS-0029","DRIVER TAG 7988","1","0","0","0"
"SOL-244000","MAYS-0001","DATA UPLOAD - MAY509","1","0","0","0"
"SOL-156772","ALST-0001","KB27GLGP","1","0","0","0"
"SOL-304758","EPSC-0001","DATA UPLOAD - HW67VCGP","1","0","0","0"
"SOL-635581","EPSC-0001","DATA UPLOAD - JF74XHGP","1","0","0","0"
"SOL-642708","EPSC-0001","DATA UPLOAD - MK88RHGP","1","0","0","0"
"SOL-891458","EPSC-0001","HW67VCGP DATA UPLOAD","1","0","0","0"
"SOL-280898","EPSC-0001","DATA UPLOAD - HW67VCGP","1","0","0","0"
"SOL-563195","HITA-0001","National Transport Logistics	1000-0302","1","0","0","0"
"SOL-530578","EPSC-0002","DATA UPLOAD - JF74YXGP","1","0","0","0"
"SOL-575752","EPSC-0002","data upload - JF74YXGP","1","0","0","0"
"SOL-655602","MAYS-0001","data upload - MAY003","3","0","0","0"
"SOL-202925","ALST-0001","JZ78PGGP","1","0","0","0"
"SOL-709720","ANGE-0001","FN85FKGP","1","0","0","0"
"SOL-512085","MAYS-0001","MAY007","1","0","0","0"
"SOL-830555","EPSC-0002","DATA UPLOAD - HY74XFGP","1","0","0","0"
"SOL-156583","MAYS-0001","MAY009","1","0","0","0"
"SOL-781197","EPSC-0001","DATA UPLOAD - KY69YNGP","1","0","0","0"
"SOL-759415","EPSC-0002","DATA UPLOAD - MK88RHGP","1","0","0","0"
"SOL-559160","HITA-0001","MS80SKGP","11","0","0","0"
